Date,Value
1-Jul-03,0.1
1-Aug-03,0.1
1-Sep-03,0.3
1-Oct-03,2.4
1-Nov-03,17.9
1-Dec-03,9.5
1-Jan-04,10.7
1-Feb-04,2.1
1-Mar-04,0.1
1-Apr-04,6.3
1-May-04,3
1-Jun-04,0
1-Jul-04,0.1
1-Aug-04,0.1
1-Sep-04,0.3
1-Oct-04,3.1
1-Nov-04,13.8
1-Dec-04,29.5
1-Jan-05,10.4
1-Feb-05,2.1
1-Mar-05,0
1-Apr-05,14.3
1-May-05,3.1
1-Jun-05,0
1-Jul-05,0.2
1-Aug-05,0.2
1-Sep-05,0.3
1-Oct-05,2.4
1-Nov-05,13.3
1-Dec-05,9.9
1-Jan-06,8.9
1-Feb-06,3.5
1-Mar-06,0
1-Apr-06,6.2
1-May-06,4.7
1-Jun-06,0
1-Jul-06,0.1
1-Aug-06,0.2
1-Sep-06,0.3
1-Oct-06,8.4
1-Nov-06,15.6
1-Dec-06,9.1
1-Jan-07,8.9
1-Feb-07,2.1
1-Mar-07,0
1-Apr-07,6.2
1-May-07,3
1-Jun-07,0
1-Jul-07,0.2
1-Aug-07,0.4
1-Sep-07,0.3
1-Oct-07,2.4
1-Nov-07,13.4
1-Dec-07,9.1
1-Jan-08,11
1-Feb-08,2.3
1-Mar-08,0
1-Apr-08,0.7
1-May-08,3
1-Jun-08,0
1-Jul-08,0.1
1-Aug-08,0.1
1-Sep-08,0.3
1-Oct-08,2.4
1-Nov-08,23.8
1-Dec-08,9.5
1-Jan-09,11
1-Feb-09,2.8
1-Mar-09,0
1-Apr-09,0
1-May-09,3.3
1-Jun-09,0
1-Jul-09,0.1
1-Aug-09,0.1
1-Sep-09,0.3
1-Oct-09,2.4
1-Nov-09,13.5
1-Dec-09,13.3
1-Jan-10,11.4
1-Feb-10,2.1
1-Mar-10,1.5
1-Apr-10,4.6
1-May-10,3
1-Jun-10,0
1-Jul-10,0.1
1-Aug-10,0.5
1-Sep-10,0.3
1-Oct-10,2.4
1-Nov-10,14.3
1-Dec-10,18.9
1-Jan-11,16.2
1-Feb-11,2.1
1-Mar-11,23.2
1-Apr-11,0
1-May-11,3
1-Jun-11,0
1-Jul-11,0.1
1-Aug-11,0.1
1-Sep-11,0.3
1-Oct-11,3.7
1-Nov-11,20.1
1-Dec-11,13.7
1-Jan-12,12
1-Feb-12,2.1
1-Mar-12,0
1-Apr-12,18.7
1-May-12,3
1-Jun-12,0
1-Jul-12,0.1
1-Aug-12,0.1
1-Sep-12,0.3
1-Oct-12,5.2
1-Nov-12,13.3
1-Dec-12,14.7
1-Jan-13,14.9
1-Feb-13,2.1
1-Mar-13,0
1-Apr-13,2.4
1-May-13,3
1-Jun-13,0
1-Jul-13,0.1
1-Aug-13,0.7
1-Sep-13,0.3
1-Oct-13,5.9
1-Nov-13,13.3
1-Dec-13,20
1-Jan-14,13.4
1-Feb-14,2.1
1-Mar-14,0
1-Apr-14,9
1-May-14,4.2
1-Jun-14,0
1-Jul-14,0.2
1-Aug-14,0.1
1-Sep-14,0.3
1-Oct-14,2.8
1-Nov-14,18.3
1-Dec-14,11.6
1-Jan-15,8.9
1-Feb-15,2.1
1-Mar-15,0
1-Apr-15,0
1-May-15,3
1-Jun-15,0
1-Jul-15,0.1
1-Aug-15,0.1
1-Sep-15,0.3
1-Oct-15,3.5
1-Nov-15,16.1
1-Dec-15,25.2
1-Jan-16,11.3
1-Feb-16,2.1
1-Mar-16,0
1-Apr-16,32.4
1-May-16,3
1-Jun-16,0
1-Jul-16,0.1
1-Aug-16,0.1
1-Sep-16,0.3
1-Oct-16,2.4
1-Nov-16,17
1-Dec-16,16.6
1-Jan-17,8.9
1-Feb-17,2.1
1-Mar-17,0
1-Apr-17,2.8
1-May-17,9.5
1-Jun-17,0
1-Jul-17,0.1
1-Aug-17,0.1
1-Sep-17,0.3
1-Oct-17,2.4
1-Nov-17,18.5
1-Dec-17,24.3
1-Jan-18,8.9
1-Feb-18,2.1
1-Mar-18,10.4
1-Apr-18,0
1-May-18,11
1-Jun-18,0
1-Jul-18,0.1
1-Aug-18,0.2
1-Sep-18,0.3
1-Oct-18,3.7
1-Nov-18,35.5
1-Dec-18,10.7
1-Jan-19,17.9
1-Feb-19,3.3
1-Mar-19,0
1-Apr-19,0.2
1-May-19,3.2
1-Jun-19,0
1-Jul-19,0.1
1-Aug-19,0.2
1-Sep-19,0.3
1-Oct-19,4.4
1-Nov-19,24.7
1-Dec-19,9.1
1-Jan-20,8.9
1-Feb-20,2.1
1-Mar-20,27.9
1-Apr-20,0
1-May-20,4.9
1-Jun-20,0
1-Jul-20,0.1
1-Aug-20,0.2
1-Sep-20,0.3
1-Oct-20,3.1
1-Nov-20,22.9
1-Dec-20,15.2
1-Jan-21,11.3
1-Feb-21,2.5
1-Mar-21,0
1-Apr-21,0
1-May-21,3.7
1-Jun-21,0
1-Jul-21,0.1
1-Aug-21,0.1
1-Sep-21,0.3
1-Oct-21,2.4
1-Nov-21,14.2
1-Dec-21,24.8
