Date,Value
1-May-24,3
1-Jun-24,0
1-Jul-24,0.1
1-Aug-24,0.1
1-Sep-24,0.3
1-Oct-24,6.7
1-Nov-24,24.5
1-Dec-24,14.4
1-Jan-25,14.3
1-Feb-25,2.5
1-Mar-25,4
1-Apr-25,6.2
1-May-25,3
1-Jun-25,0
1-Jul-25,0.1
1-Aug-25,0.3
1-Sep-25,0.3
1-Oct-25,3.6
1-Nov-25,27.3
1-Dec-25,14.3
1-Jan-26,12.1
1-Feb-26,2.7
1-Mar-26,4
1-Apr-26,6.2
1-May-26,8
1-Jun-26,0
1-Jul-26,0.1
1-Aug-26,0.2
1-Sep-26,0.3
1-Oct-26,4.2
1-Nov-26,15.3
1-Dec-26,15.3
1-Jan-27,17.5
1-Feb-27,2.2
1-Mar-27,4
1-Apr-27,6.2
1-May-27,3
1-Jun-27,0
1-Jul-27,0.1
1-Aug-27,0.1
1-Sep-27,0.3
1-Oct-27,2.7
1-Nov-27,15.4
1-Dec-27,19.6
1-Jan-28,19.5
1-Feb-28,3.8
1-Mar-28,4.8
1-Apr-28,6.2
1-May-28,3
1-Jun-28,0
1-Jul-28,0.1
1-Aug-28,0.2
1-Sep-28,0.3
1-Oct-28,3.3
1-Nov-28,19.1
1-Dec-28,14.3
1-Jan-29,19.8
1-Feb-29,2.1
1-Mar-29,4
1-Apr-29,46.4
1-May-29,3
1-Jun-29,0
1-Jul-29,0.1
1-Aug-29,0.1
1-Sep-29,0.3
1-Oct-29,2.5
1-Nov-29,15.4
1-Dec-29,12.9
1-Jan-30,9.3
1-Feb-30,2.4
1-Mar-30,4
1-Apr-30,6.2
1-May-30,3
1-Jun-30,0
1-Jul-30,0.1
1-Aug-30,0.3
1-Sep-30,0.3
1-Oct-30,3.7
1-Nov-30,15.4
1-Dec-30,9.5
1-Jan-31,12.3
1-Feb-31,4.5
1-Mar-31,4.8
1-Apr-31,9.3
1-May-31,3
1-Jun-31,0
1-Jul-31,0.1
1-Aug-31,0.2
1-Sep-31,0.3
1-Oct-31,2.6
1-Nov-31,21.8
1-Dec-31,18.1
1-Jan-32,17.9
1-Feb-32,3.6
1-Mar-32,4
1-Apr-32,6.2
1-May-32,3.6
1-Jun-32,0
1-Jul-32,0.1
1-Aug-32,0.3
1-Sep-32,0.3
1-Oct-32,2.4
1-Nov-32,18.8
1-Dec-32,14
1-Jan-33,28.2
1-Feb-33,2.1
1-Mar-33,5.7
1-Apr-33,6.2
1-May-33,6.7
1-Jun-33,0
1-Jul-33,0.1
1-Aug-33,0.2
1-Sep-33,0.3
1-Oct-33,5.1
1-Nov-33,22.9
1-Dec-33,15.3
1-Jan-34,13.4
1-Feb-34,9.4
1-Mar-34,4
1-Apr-34,9.3
1-May-34,3
1-Jun-34,0
1-Jul-34,0.1
1-Aug-34,0.1
1-Sep-34,0.3
1-Oct-34,2.4
1-Nov-34,23.3
1-Dec-34,14.8
1-Jan-35,16.8
1-Feb-35,2.3
1-Mar-35,5
1-Apr-35,6.4
1-May-35,8.9
1-Jun-35,0
1-Jul-35,0.1
1-Aug-35,0.1
1-Sep-35,0.3
1-Oct-35,2.5
1-Nov-35,21.6
1-Dec-35,22.2
1-Jan-36,13
1-Feb-36,2.2
1-Mar-36,4
1-Apr-36,12.9
1-May-36,11.1
1-Jun-36,0
1-Jul-36,0.1
1-Aug-36,0.5
1-Sep-36,0.3
1-Oct-36,4.4
1-Nov-36,14.1
1-Dec-36,12.7
1-Jan-37,33.4
1-Feb-37,2.2
1-Mar-37,4
1-Apr-37,6.2
1-May-37,3
1-Jun-37,0
1-Jul-37,0.1
1-Aug-37,0.3
1-Sep-37,0.3
1-Oct-37,3.5
1-Nov-37,16.1
1-Dec-37,12.5
1-Jan-38,9.9
1-Feb-38,7.9
1-Mar-38,4
1-Apr-38,6.2
1-May-38,3
1-Jun-38,0
1-Jul-38,0.1
1-Aug-38,0.2
1-Sep-38,0.3
1-Oct-38,3.3
1-Nov-38,25
1-Dec-38,17.7
1-Jan-39,14.4
