Models,mse,rmse,mae,mbe,r,R2,RRMSE,NSE,WI
baseline,0.039431754,0.198574304,0.120505469,0.00108945,0.252724848,0.063869849,170.7077928,0.487009597,0.513604427
ARIMA,0.024249898,0.155723789,0.10868618,-0.000899684,0.313968504,0.098576222,133.8706154,0.085512871,0.561310558
SARIMA,0.012407223,0.111387716,0.058482051,-0.002789431,0.729862575,0.532699378,104.0774587,0.532111611,0.763949216
LSTM,0.013976225,0.118221085,0.074762231,-0.018328277,0.673702785,0.453875443,95.7563526,0.426390912,0.684734718
AD-PO-Guided WOA-LSTM,0.005077739,0.066482721,0.044828884,0.000263331,0.942645878,0.887910775,19.01840525,0.885960732,0.853388037
