Test,LSTM
0.0,0.07089409
0.0019230769230769232,0.03878273
0.0019230769230769232,0.0041389987
0.0038461538461538464,-0.015220977
0.046153846153846156,0.025185145
0.2692307692307693,0.30673432
0.23653846153846156,0.38157654
0.17307692307692307,0.2884903
0.04038461538461539,0.18965891
0.015384615384615385,0.14058472
0.6480769230769232,0.1132224
0.057692307692307696,0.09434668
0.0,0.07711487
0.0019230769230769232,0.047841914
0.0057692307692307696,0.017135032
0.0038461538461538464,-0.0016730055
0.04807692307692308,0.013558507
0.3557692307692308,0.17763735
0.2,0.39097163
0.17500000000000002,0.34966886
0.051923076923076926,0.23856524
0.019230769230769232,0.15984298
0.0038461538461538464,0.107600704
0.06153846153846154,0.08648204
0.0,0.057816807
0.0019230769230769232,0.04139542
0.0019230769230769232,0.014873721
0.0038461538461538464,0.0077217594
0.10192307692307692,0.061385233
0.5826923076923077,0.2798989
0.19615384615384615,0.3268036
0.17115384615384616,0.24139807
0.04038461538461539,0.15872881
0.07692307692307693,0.10337913
0.11923076923076924,0.07382032
0.057692307692307696,0.0569675
0.0,0.054831937
0.0019230769230769232,0.0234242
0.0057692307692307696,-0.0076469705
0.0038461538461538464,-0.015420467
0.075,0.09703093
0.2673076923076923,0.45831066
0.24423076923076922,0.28504786
0.17692307692307693,0.2063523
0.04038461538461539,0.16588584
0.08461538461538462,0.15164998
0.12115384615384615,0.12139035
0.057692307692307696,0.08472732
0.0,0.048856426
0.0019230769230769232,0.022068568
0.0057692307692307696,-0.0026566908
0.0038461538461538464,0.0036964864
0.046153846153846156,0.19501166
0.2730769230769231,0.4442097
0.4076923076923077,0.26300216
0.44423076923076926,0.2214191
0.08076923076923077,0.14996189
0.07692307692307693,0.12484582
0.31153846153846154,0.105132535
0.17115384615384616,0.08559933
0.0,0.065744795
0.0019230769230769232,0.03385452
0.011538461538461539,0.00034155697
0.0057692307692307696,-0.019145705
0.12692307692307692,0.012430951
0.31153846153846154,0.27925208
0.17692307692307693,0.3636651
0.17692307692307693,0.2587538
0.046153846153846156,0.16976283
0.07884615384615384,0.12644303
0.11923076923076924,0.10027001
0.08269230769230769,0.07823198
0.0,0.058957264
0.0019230769230769232,0.033238634
0.0019230769230769232,0.009814538
0.0038461538461538464,0.0062587187
0.046153846153846156,0.08187439
0.2923076923076923,0.3617406
0.22692307692307695,0.3339474
0.2,0.22345072
0.05576923076923077,0.15625598
0.09230769230769231,0.09983736
0.0,0.072313845
0.075,0.05483886
0.0,0.043717094
0.0019230769230769232,0.030098505
